FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.425824E-04,+0.000000E+00,-6.708012E+01,+3.141593E+00
+2.441406E-01,+3.122759E-04,+1.253872E-06,-7.010916E+01,+4.015250E-03
+4.882812E-01,-3.735613E-06,+7.884890E-06,-1.011847E+02,+2.013239E+00
+7.324219E-01,+5.642195E-06,-1.437425E-05,-9.622597E+01,-1.196754E+00
+9.765625E-01,-1.297953E-06,+1.161342E-05,-9.864688E+01,+1.682098E+00
+1.220703E+00,-2.353345E-06,-7.086669E-06,-1.025368E+02,-1.891419E+00
+1.464844E+00,+1.270356E-06,+8.408412E-06,-1.014077E+02,+1.420849E+00
+1.708984E+00,+1.261726E-05,-7.277093E-07,-9.796628E+01,-5.761189E-02
+1.953125E+00,-1.426856E-05,-2.622472E-05,-9.049963E+01,-2.069089E+00
+2.197266E+00,-3.813435E-06,+4.829421E-05,-8.629510E+01,+1.649595E+00
+2.441406E+00,+4.295255E-06,-3.275241E-05,-8.962108E+01,-1.440397E+00
+2.685547E+00,+3.946218E-06,+9.320573E-06,-9.989506E+01,+1.170292E+00
+2.929688E+00,+5.054049E-06,-3.081045E-06,-1.045548E+02,-5.474623E-01
+3.173828E+00,-9.996468E-06,-7.379694E-06,-9.811383E+01,-2.505667E+00
+3.417969E+00,+3.650236E-06,+7.184615E-06,-1.018747E+02,+1.100719E+00
+3.662109E+00,+4.661174E-06,+5.202838E-06,-1.031161E+02,+8.402562E-01
+3.906250E+00,-1.388649E-05,-1.043502E-05,-9.520390E+01,-2.497163E+00
+4.150391E+00,+6.890891E-06,+1.047126E-05,-9.803737E+01,+9.887641E-01
+4.394531E+00,+9.881311E-06,-1.115208E-05,-9.653629E+01,-8.457417E-01
+4.638672E+00,-1.164896E-05,+1.393585E-05,-9.481609E+01,+2.267047E+00
+4.882812E+00,+2.928555E-06,-1.258136E-05,-9.777630E+01,-1.342099E+00
+5.126953E+00,-1.671459E-06,+5.198013E-06,-1.052559E+02,+1.881911E+00
+5.371094E+00,+4.540696E-06,-3.652039E-06,-1.046909E+02,-6.773517E-01
+5.615234E+00,-7.292592E-08,+6.471985E-06,-1.037787E+02,+1.582064E+00
+5.859375E+00,-4.915754E-06,-1.090387E-05,-9.844485E+01,-1.994337E+00
+6.103516E+00,-3.512263E-06,+1.807216E-05,-9.469878E+01,+1.762750E+00
+6.347656E+00,-6.589374E-07,-4.591471E-06,-1.066724E+02,-1.713336E+00
+6.591797E+00,+9.203322E-06,-5.250986E-06,-9.949721E+01,-5.184861E-01
+6.835938E+00,-5.771219E-06,+6.076160E-06,-1.015350E+02,+2.330461E+00
+7.080078E+00,+8.949389E-06,+9.918524E-06,-9.748438E+01,+8.367172E-01
+7.324219E+00,+1.207387E-05,-1.907677E-05,-9.292685E+01,-1.006529E+00
+7.568359E+00,-6.804901E-06,+8.548544E-06,-9.923053E+01,+2.243112E+00
+7.812500E+00,-9.732780E-06,-1.474215E-05,-9.505765E+01,-2.154309E+00
+8.056641E+00,+1.997756E-05,-3.020148E-06,-9.389101E+01,-1.500409E-01
+8.300781E+00,-3.577089E-05,+4.326683E-06,-8.886633E+01,+3.021222E+00
+8.544922E+00,+2.159731E-05,+8.855908E-06,-9.263706E+01,+3.891374E-01
+8.789062E+00,-1.284964E-05,-4.682877E-07,-9.781642E+01,-3.105165E+00
+9.033203E+00,+1.948859E-05,-2.173672E-06,-9.415070E+01,-1.110765E-01
+9.277344E+00,-1.771350E-05,-5.666120E-06,-9.461083E+01,-2.832002E+00
+9.521484E+00,+4.612388E-07,-1.617751E-06,-1.154823E+02,-1.293054E+00
+9.765625E+00,+6.682787E-06,+9.955261E-06,-9.842342E+01,+9.796053E-01
+1.000977E+01,-4.231633E-06,-2.384721E-06,-1.062721E+02,-2.628409E+00
+1.025391E+01,-3.160319E-08,-4.349561E-06,-1.072309E+02,-1.578062E+00
+1.049805E+01,+5.116004E-06,+5.435078E-06,-1.025404E+02,+8.156298E-01
