FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.387262E-04,+0.000000E+00,-6.940302E+01,+3.141593E+00
+2.441406E-01,+2.214614E-04,-1.044753E-05,-7.308438E+01,-4.714046E-02
+4.882812E-01,+1.453348E-05,-8.629067E-06,-9.544116E+01,-5.358016E-01
+7.324219E-01,+8.973631E-06,+1.392248E-05,-9.561677E+01,+9.982672E-01
+9.765625E-01,-8.638993E-06,-2.538603E-05,-9.143221E+01,-1.898808E+00
+1.220703E+00,-3.771696E-06,+2.902806E-05,-9.067093E+01,+1.700005E+00
+1.464844E+00,+2.690010E-06,-1.823107E-05,-9.469022E+01,-1.424303E+00
+1.708984E+00,+3.194906E-06,+9.914494E-06,-9.964552E+01,+1.259057E+00
+1.953125E+00,-1.275399E-06,-9.137709E-07,-1.160878E+02,-2.519906E+00
+2.197266E+00,+5.727721E-06,+1.621741E-06,-1.045055E+02,+2.759170E-01
+2.441406E+00,-8.536173E-06,-6.511431E-06,-9.938303E+01,-2.489947E+00
+2.685547E+00,+8.287901E-06,+1.144396E-05,-9.699723E+01,+9.440020E-01
+2.929688E+00,-8.705189E-06,-1.636661E-05,-9.463889E+01,-2.059627E+00
+3.173828E+00,+6.378099E-07,+1.833844E-05,-9.472749E+01,+1.536030E+00
+3.417969E+00,+9.741531E-06,-1.169802E-05,-9.634998E+01,-8.764020E-01
+3.662109E+00,-2.477824E-06,+5.398056E-06,-1.045249E+02,+2.001127E+00
+3.906250E+00,-5.874357E-07,+2.043602E-06,-1.134473E+02,+1.850701E+00
+4.150391E+00,-2.791711E-06,-7.838677E-06,-1.015965E+02,-1.912936E+00
+4.394531E+00,-3.487896E-06,+4.403253E-06,-1.050095E+02,+2.240713E+00
+4.638672E+00,+9.017022E-06,+5.597922E-06,-9.948295E+01,+5.555857E-01
+4.882812E+00,-1.473397E-05,-1.252266E-05,-9.427237E+01,-2.437146E+00
+5.126953E+00,+1.288260E-05,+1.024882E-05,-9.567031E+01,+6.720250E-01
+5.371094E+00,-5.298636E-06,-4.448937E-06,-1.031995E+02,-2.443145E+00
+5.615234E+00,+6.648522E-06,+5.033633E-06,-1.015776E+02,+6.480331E-01
+5.859375E+00,-5.032223E-06,-7.690447E-06,-1.007332E+02,-2.150222E+00
+6.103516E+00,+4.394259E-06,+7.575688E-06,-1.011520E+02,+1.045177E+00
+6.347656E+00,-6.067045E-06,-2.919193E-06,-1.034361E+02,-2.693134E+00
+6.591797E+00,+1.027024E-06,-3.209697E-06,-1.094474E+02,-1.261116E+00
