FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.039749E-04,+0.000000E+00,-6.787292E+01,+3.141593E+00
+2.441406E-01,+2.796594E-04,-2.152355E-05,-7.104176E+01,-7.681204E-02
+4.882812E-01,+5.208925E-06,+1.011570E-05,-9.887864E+01,+1.095272E+00
+7.324219E-01,+3.892437E-06,+5.128083E-06,-1.038249E+02,+9.215326E-01
+9.765625E-01,-8.565704E-06,-8.421646E-06,-9.840748E+01,-2.364675E+00
+1.220703E+00,+9.667674E-06,+8.614168E-06,-9.775550E+01,+7.278360E-01
+1.464844E+00,-6.704387E-06,-9.274600E-06,-9.882838E+01,-2.196711E+00
+1.708984E+00,+6.633891E-06,+8.168337E-06,-9.955734E+01,+8.886924E-01
+1.953125E+00,-7.277873E-06,-5.111933E-06,-1.010183E+02,-2.529262E+00
+2.197266E+00,+5.209612E-06,+1.966400E-06,-1.050854E+02,+3.609222E-01
+2.441406E+00,+3.315981E-06,+1.148194E-05,-9.845178E+01,+1.289647E+00
+2.685547E+00,-5.060433E-06,-2.000045E-05,-9.370972E+01,-1.818612E+00
+2.929688E+00,-3.915209E-06,+6.370905E-06,-1.025245E+02,+2.121842E+00
+3.173828E+00,-2.933486E-06,+1.227775E-06,-1.099513E+02,+2.745208E+00
+3.417969E+00,+4.606070E-06,+1.769878E-06,-1.061353E+02,+3.668546E-01
+3.662109E+00,+1.994324E-06,+3.213938E-06,-1.084446E+02,+1.015423E+00
+3.906250E+00,+8.165127E-06,+1.315525E-06,-1.016494E+02,+1.597423E-01
+4.150391E+00,-5.829103E-06,-1.544060E-05,-9.564808E+01,-1.931773E+00
+4.394531E+00,-7.418656E-06,+2.034909E-05,-9.328714E+01,+1.920391E+00
+4.638672E+00,+8.202936E-06,-8.465064E-06,-9.857156E+01,-8.011233E-01
+4.882812E+00,-6.379880E-06,-2.423113E-06,-1.033185E+02,-2.778616E+00
+5.126953E+00,+7.011095E-06,-1.279034E-06,-1.029421E+02,-1.804457E-01
+5.371094E+00,-1.103266E-05,+3.899358E-06,-9.863519E+01,+2.801859E+00
+5.615234E+00,+1.089433E-05,-5.892079E-06,-9.814166E+01,-4.957828E-01
+5.859375E+00,-1.624351E-06,+1.028590E-05,-9.964817E+01,+1.727423E+00
+6.103516E+00,+2.031321E-06,-1.116846E-05,-9.889879E+01,-1.390883E+00
+6.347656E+00,+1.573600E-06,+3.154732E-06,-1.090558E+02,+1.108104E+00
+6.591797E+00,-1.038090E-05,+3.820837E-06,-9.912354E+01,+2.788917E+00
+6.835938E+00,+6.870845E-06,-2.417062E-06,-1.027531E+02,-3.382643E-01
+7.080078E+00,+1.774504E-06,-3.531875E-06,-1.080624E+02,-1.105210E+00
+7.324219E+00,-5.406387E-06,+6.334131E-06,-1.015895E+02,+2.277338E+00
+7.568359E+00,+5.873069E-06,-4.442528E-06,-1.026577E+02,-6.475995E-01
+7.812500E+00,-6.549151E-06,-1.934475E-06,-1.033130E+02,-2.854382E+00
+8.056641E+00,+2.908566E-06,+2.220437E-06,-1.087322E+02,+6.520303E-01
+8.300781E+00,-6.251511E-06,+8.125782E-06,-9.978357E+01,+2.226562E+00
+8.544922E+00,+1.185064E-05,-7.550991E-06,-9.704532E+01,-5.673102E-01
+8.789062E+00,-4.170271E-06,-1.252336E-06,-1.072217E+02,-2.849860E+00
+9.033203E+00,-5.072107E-06,+3.195167E-06,-1.044448E+02,+2.579443E+00
+9.277344E+00,+7.230873E-06,-4.773232E-06,-1.012454E+02,-5.834554E-01
+9.521484E+00,+1.095424E-06,+2.958888E-06,-1.100196E+02,+1.216228E+00
+9.765625E+00,-1.068590E-05,+8.653012E-08,-9.942349E+01,+3.133495E+00
+1.000977E+01,+1.037738E-05,+5.847504E-07,-9.966447E+01,+5.628902E-02
+1.025391E+01,-8.635444E-06,-7.695790E-09,-1.012743E+02,-3.140702E+00
+1.049805E+01,+9.095781E-06,-3.377784E-06,-1.002621E+02,-3.555732E-01
+1.074219E+01,-1.021497E-05,+2.714748E-06,-9.951886E+01,+2.881835E+00
+1.098633E+01,+4.266446E-06,+4.300604E-06,-1.043536E+02,+7.893853E-01
+1.123047E+01,+5.229841E-06,-7.349885E-06,-1.008952E+02,-9.523580E-01
+1.147461E+01,-4.467312E-06,+4.689776E-06,-1.037726E+02,+2.331905E+00
