FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.224361E-04,+0.000000E+00,-6.748478E+01,+3.141593E+00
+2.441406E-01,+3.041228E-04,-3.852265E-05,-7.026989E+01,-1.259971E-01
+4.882812E-01,-5.177808E-06,+1.522877E-05,-9.587162E+01,+1.898536E+00
+7.324219E-01,-3.296439E-06,+1.149901E-05,-9.844379E+01,+1.849981E+00
+9.765625E-01,-5.483870E-06,-1.830637E-05,-9.437474E+01,-1.861850E+00
+1.220703E+00,+5.126353E-06,+1.679949E-05,-9.510741E+01,+1.274622E+00
+1.464844E+00,+7.556851E-06,-1.238229E-05,-9.676898E+01,-1.022841E+00
+1.708984E+00,-1.670794E-06,+9.153970E-06,-1.006255E+02,+1.751330E+00
+1.953125E+00,-3.732127E-06,-8.811799E-06,-1.003822E+02,-1.971427E+00
+2.197266E+00,-1.404361E-06,+1.337736E-05,-9.742500E+01,+1.675394E+00
+2.441406E+00,+1.089291E-05,-1.195086E-05,-9.582565E+01,-8.316772E-01
+2.685547E+00,-2.385342E-05,+6.955630E-06,-9.209457E+01,+2.857861E+00
+2.929688E+00,+2.381833E-05,-8.982101E-06,-9.188431E+01,-3.606181E-01
+3.173828E+00,-1.042960E-05,+8.704136E-06,-9.733913E+01,+2.446130E+00
+3.417969E+00,+6.329863E-06,-1.502623E-06,-1.037340E+02,-2.330723E-01
+3.662109E+00,+6.145532E-08,-2.272583E-06,-1.128664E+02,-1.543761E+00
+3.906250E+00,-1.251721E-05,+3.005041E-06,-9.780649E+01,+2.905979E+00
+4.150391E+00,+1.483955E-05,+3.251299E-06,-9.636796E+01,+2.156887E-01
+4.394531E+00,-1.441331E-05,-8.679008E-06,-9.548108E+01,-2.599592E+00
+4.638672E+00,+1.322218E-05,+9.333223E-08,-9.757372E+01,+7.058643E-03
+4.882812E+00,-3.612066E-06,+7.045721E-06,-1.020281E+02,+2.044521E+00
+5.126953E+00,-6.113319E-06,+1.252784E-06,-1.040958E+02,+2.939464E+00
+5.371094E+00,+7.383637E-06,-6.679993E-06,-1.000375E+02,-7.354069E-01
+5.615234E+00,-1.635398E-06,+8.686099E-06,-1.010722E+02,+1.756895E+00
+5.859375E+00,-6.926794E-06,-1.800494E-05,-9.429272E+01,-1.938058E+00
