FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.132902E-04,+0.000000E+00,-6.767490E+01,+3.141593E+00
+2.441406E-01,+3.130186E-04,-5.221095E-05,-6.996942E+01,-1.652767E-01
+4.882812E-01,-3.258315E-05,+6.455377E-06,-8.957294E+01,+2.946005E+00
+7.324219E-01,+9.192646E-06,+1.814445E-05,-9.383287E+01,+1.101853E+00
+9.765625E-01,+1.278291E-06,+2.667868E-06,-1.105792E+02,+1.123973E+00
+1.220703E+00,+4.083153E-06,-6.055323E-06,-1.027296E+02,-9.775222E-01
+1.464844E+00,-6.121727E-06,-5.945381E-06,-1.013773E+02,-2.370807E+00
+1.708984E+00,+4.411243E-06,+1.194494E-05,-9.790108E+01,+1.217034E+00
+1.953125E+00,-9.709922E-06,-8.404148E-06,-9.782747E+01,-2.428156E+00
+2.197266E+00,+1.586134E-05,+8.639013E-06,-9.486496E+01,+4.987329E-01
+2.441406E+00,-9.086454E-06,-1.175390E-05,-9.656162E+01,-2.228893E+00
+2.685547E+00,+2.386570E-06,+1.033706E-05,-9.948653E+01,+1.343897E+00
+2.929688E+00,+4.750729E-07,-3.911941E-06,-1.080886E+02,-1.449946E+00
+3.173828E+00,+1.608202E-06,+1.522646E-06,-1.130938E+02,+7.580780E-01
+3.417969E+00,-5.554485E-06,-9.102607E-07,-1.049920E+02,-2.979158E+00
+3.662109E+00,+2.286999E-06,+3.466941E-08,-1.128137E+02,+1.515819E-02
+3.906250E+00,+1.982879E-06,+4.600983E-07,-1.138263E+02,+2.280007E-01
+4.150391E+00,-1.405536E-06,-4.696226E-06,-1.061924E+02,-1.861602E+00
+4.394531E+00,+2.850333E-06,+6.330954E-06,-1.031690E+02,+1.147758E+00
+4.638672E+00,+1.372653E-07,-2.232222E-06,-1.130089E+02,-1.509381E+00
+4.882812E+00,+1.111943E-06,+3.832797E-06,-1.079787E+02,+1.288435E+00
+5.126953E+00,-6.301109E-06,-1.121197E-05,-9.781432E+01,-2.082805E+00
+5.371094E+00,+8.408750E-06,+6.624954E-06,-9.940826E+01,+6.672972E-01
+5.615234E+00,-7.340413E-06,+3.036130E-06,-1.019997E+02,+2.749402E+00
+5.859375E+00,-1.839995E-06,-3.428097E-06,-1.081995E+02,-2.063402E+00
+6.103516E+00,+7.632018E-06,+2.811612E-06,-1.017945E+02,+3.529691E-01
+6.347656E+00,-2.301829E-06,-4.090261E-06,-1.065701E+02,-2.083382E+00
+6.591797E+00,-5.629176E-06,+3.955438E-07,-1.049697E+02,+3.071441E+00
+6.835938E+00,+9.101924E-06,-1.030539E-07,-1.008168E+02,-1.132172E-02
+7.080078E+00,-1.130263E-05,+7.274470E-06,-9.743120E+01,+2.569724E+00
+7.324219E+00,+9.600892E-06,-1.161904E-05,-9.643631E+01,-8.802193E-01
+7.568359E+00,+4.940124E-07,+6.576219E-06,-1.036160E+02,+1.495816E+00
+7.812500E+00,-8.938417E-06,-3.699996E-06,-1.002879E+02,-2.749125E+00
+8.056641E+00,+7.036072E-06,-1.819796E-06,-1.027722E+02,-2.530920E-01
+8.300781E+00,+1.078144E-06,+7.467890E-06,-1.024464E+02,+1.427416E+00
+8.544922E+00,+2.275289E-06,-4.325859E-06,-1.062178E+02,-1.086586E+00
+8.789062E+00,-7.810370E-06,+2.358386E-06,-1.017676E+02,+2.848342E+00
+9.033203E+00,+2.043902E-07,+6.536399E-07,-1.232881E+02,+1.267733E+00
+9.277344E+00,+2.495345E-06,-4.230757E-06,-1.061751E+02,-1.037903E+00
+9.521484E+00,+6.035675E-06,+5.738235E-06,-1.015891E+02,+7.601409E-01
+9.765625E+00,-7.745954E-06,-5.575529E-06,-1.004055E+02,-2.517702E+00
+1.000977E+01,+6.810735E-07,+3.889756E-06,-1.080704E+02,+1.397459E+00
+1.025391E+01,+3.968808E-06,-6.931939E-06,-1.019516E+02,-1.050813E+00
+1.049805E+01,-5.872546E-06,+4.424339E-06,-1.026711E+02,+2.495923E+00
+1.074219E+01,+2.325134E-06,+4.168387E-08,-1.126696E+02,+1.792559E-02
+1.098633E+01,+3.166642E-06,-1.481739E-06,-1.091282E+02,-4.376570E-01
+1.123047E+01,+3.980377E-07,-8.983275E-07,-1.201528E+02,-1.153706E+00
+1.147461E+01,-1.209531E-06,-5.577827E-06,-1.048711E+02,-1.784336E+00
+1.171875E+01,-5.057700E-06,+1.528629E-05,-9.586280E+01,+1.890324E+00
+1.196289E+01,-2.145532E-06,-1.156904E-05,-9.858720E+01,-1.754168E+00
+1.220703E+01,+9.496063E-06,+5.837093E-06,-9.905715E+01,+5.511478E-01
+1.245117E+01,-5.085613E-06,-1.297789E-06,-1.055991E+02,-2.891737E+00
+1.269531E+01,-2.043367E-06,-4.967821E-06,-1.053979E+02,-1.961024E+00
+1.293945E+01,+5.616139E-06,+6.480422E-06,-1.013349E+02,+8.567256E-01
+1.318359E+01,-5.741686E-06,-2.492404E-06,-1.040695E+02,-2.732049E+00
+1.342773E+01,+5.898358E-06,+3.135375E-06,-1.035046E+02,+4.885814E-01
+1.367188E+01,-2.936741E-06,-4.963463E-06,-1.047807E+02,-2.105070E+00
+1.391602E+01,+5.274730E-06,+1.579518E-06,-1.051830E+02,+2.909521E-01
+1.416016E+01,-1.372160E-05,+1.001695E-06,-9.722882E+01,+3.068721E+00
+1.440430E+01,+1.144081E-05,+3.354941E-07,-9.882713E+01,+2.931594E-02
+1.464844E+01,-1.214181E-06,-2.853769E-06,-1.101691E+02,-1.973062E+00
+1.489258E+01,-8.307612E-06,+2.381425E-06,-1.012675E+02,+2.862423E+00
+1.513672E+01,+7.996980E-06,+8.358259E-07,-1.018943E+02,+1.041396E-01
+1.538086E+01,+2.673958E-06,-6.996083E-08,-1.114539E+02,-2.615781E-02
+1.562500E+01,-6.472297E-06,-2.872399E-06,-1.029980E+02,-2.723907E+00
+1.586914E+01,+1.069149E-07,+1.322734E-06,-1.175423E+02,+1.490143E+00
+1.611328E+01,-3.710696E-06,-1.249880E-06,-1.081442E+02,-2.816697E+00
+1.635742E+01,+1.185357E-05,+1.594454E-06,-9.844514E+01,+1.337100E-01
+1.660156E+01,-5.793909E-06,-4.088081E-06,-1.029859E+02,-2.527130E+00
+1.684570E+01,-8.194915E-06,+9.511673E-06,-9.802365E+01,+2.281966E+00
+1.708984E+01,+8.391897E-06,-7.829960E-06,-9.880309E+01,-7.507713E-01
+1.733398E+01,+1.752192E-07,+1.196703E-06,-1.183482E+02,+1.425411E+00
+1.757812E+01,+4.114426E-07,+2.974323E-06,-1.104499E+02,+1.433337E+00
+1.782227E+01,-3.274604E-06,-2.898075E-06,-1.071847E+02,-2.417118E+00
+1.806641E+01,+2.069708E-06,+1.549183E-06,-1.117499E+02,+6.425425E-01
+1.831055E+01,-2.490682E-06,-1.080114E-06,-1.113252E+02,-2.732408E+00
+1.855469E+01,+1.264417E-06,+3.195775E-06,-1.092769E+02,+1.194043E+00
+1.879883E+01,-2.170340E-06,-4.388263E-06,-1.062038E+02,-2.030097E+00
+1.904297E+01,+8.863759E-06,+4.673964E-06,-9.998214E+01,+4.852575E-01
+1.928711E+01,-8.544123E-06,-3.330851E-06,-1.007522E+02,-2.769874E+00
+1.953125E+01,+1.003769E-06,+2.418994E-06,-1.116373E+02,+1.177466E+00
+1.977539E+01,-8.768520E-07,-6.949622E-06,-1.030922E+02,-1.696306E+00
+2.001953E+01,+6.305422E-07,+8.733716E-06,-1.011534E+02,+1.498725E+00
+2.026367E+01,+5.745090E-06,-7.076374E-06,-1.008050E+02,-8.888599E-01
+2.050781E+01,-6.852967E-06,+5.545767E-06,-1.010947E+02,+2.461236E+00
+2.075195E+01,-8.614453E-08,-8.387815E-07,-1.214815E+02,-1.673139E+00
+2.099609E+01,+3.506633E-06,-1.628468E-06,-1.082541E+02,-4.347613E-01
+2.124023E+01,-1.614819E-06,-6.921056E-06,-1.029663E+02,-1.800015E+00
+2.148438E+01,+1.403200E-06,+1.775855E-05,-9.498482E+01,+1.491945E+00
+2.172852E+01,-4.596945E-06,-1.379302E-05,-9.674937E+01,-1.892499E+00
+2.197266E+01,+4.513459E-06,+4.205138E-06,-1.041959E+02,+7.500493E-01
