FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.559169E-04,+0.000000E+00,-6.897302E+01,+3.141593E+00
+2.441406E-01,+2.491511E-04,+1.877683E-06,-7.207050E+01,+7.536182E-03
+4.882812E-01,+9.642558E-06,-3.884448E-06,-9.966304E+01,-3.829558E-01
+7.324219E-01,-7.682953E-07,+6.640154E-06,-1.034987E+02,+1.685989E+00
+9.765625E-01,-1.420636E-05,-1.658906E-06,-9.689153E+01,-3.025347E+00
+1.220703E+00,+9.683165E-06,-1.163836E-05,-9.639756E+01,-8.768430E-01
+1.464844E+00,-8.216610E-06,+1.764134E-05,-9.421671E+01,+2.006678E+00
+1.708984E+00,+9.560568E-06,-8.241427E-06,-9.797714E+01,-7.114326E-01
+1.953125E+00,-1.154072E-05,+8.133942E-06,-9.700385E+01,+2.527650E+00
+2.197266E+00,+1.432238E-05,-1.585159E-05,-9.340652E+01,-8.360347E-01
+2.441406E+00,-5.892530E-06,+9.386598E-06,-9.910695E+01,+2.131378E+00
+2.685547E+00,-8.426907E-06,+3.543269E-06,-1.007796E+02,+2.743564E+00
+2.929688E+00,+1.809775E-05,-4.469724E-07,-9.484486E+01,-2.469265E-02
+3.173828E+00,-1.820384E-05,-8.617916E-06,-9.391850E+01,-2.699441E+00
+3.417969E+00,+1.086375E-05,+6.028760E-06,-9.811446E+01,+5.066302E-01
+3.662109E+00,+2.087864E-06,+1.253826E-06,-1.122685E+02,+5.408095E-01
+3.906250E+00,-6.354107E-06,-7.478550E-07,-1.038792E+02,-3.024435E+00
+4.150391E+00,+1.918276E-07,-1.299100E-06,-1.176335E+02,-1.424194E+00
+4.394531E+00,+6.168987E-06,+5.979268E-07,-1.041551E+02,+9.662282E-02
+4.638672E+00,-4.001161E-06,-5.352177E-06,-1.035013E+02,-2.212744E+00
+4.882812E+00,+1.076504E-06,+7.835723E-06,-1.020372E+02,+1.434267E+00
+5.126953E+00,-5.272967E-06,-1.987344E-07,-1.055527E+02,-3.103921E+00
+5.371094E+00,+1.022061E-05,-8.748660E-06,-9.742322E+01,-7.079569E-01
+5.615234E+00,-4.086188E-06,+7.021622E-06,-1.018046E+02,+2.097833E+00
+5.859375E+00,+3.079957E-06,+2.920087E-06,-1.074441E+02,+7.587596E-01
+6.103516E+00,-1.549388E-05,-1.066250E-05,-9.451305E+01,-2.538847E+00
+6.347656E+00,+1.303672E-05,+1.468046E-05,-9.414008E+01,+8.446326E-01
+6.591797E+00,+1.109814E-06,-1.178957E-05,-9.853172E+01,-1.476938E+00
+6.835938E+00,-1.893820E-06,+1.291513E-06,-1.127946E+02,+2.543076E+00
+7.080078E+00,-4.769553E-06,-2.501100E-06,-1.053754E+02,-2.658625E+00
+7.324219E+00,+2.887899E-06,+9.690888E-06,-9.990323E+01,+1.281174E+00
+7.568359E+00,+2.394156E-06,-3.593143E-06,-1.072949E+02,-9.830390E-01
+7.812500E+00,-2.724407E-06,-4.087415E-06,-1.061745E+02,-2.158708E+00
+8.056641E+00,+2.981984E-06,+2.628744E-06,-1.080127E+02,+7.225230E-01
+8.300781E+00,-2.290710E-06,-2.898136E-06,-1.086498E+02,-2.239661E+00
+8.544922E+00,-7.891725E-07,+1.675433E-06,-1.146472E+02,+2.010997E+00
+8.789062E+00,+4.613613E-06,-2.231551E-06,-1.058062E+02,-4.505135E-01
+9.033203E+00,-5.492690E-06,+4.894712E-06,-1.026658E+02,+2.413699E+00
+9.277344E+00,+4.022573E-06,+6.719191E-07,-1.077904E+02,+1.655091E-01
+9.521484E+00,-1.683035E-06,-6.244586E-06,-1.037854E+02,-1.834060E+00
+9.765625E+00,-7.152983E-07,+5.206184E-06,-1.055884E+02,+1.707335E+00
+1.000977E+01,-2.397248E-06,-3.645296E-06,-1.072045E+02,-2.152515E+00
+1.025391E+01,+3.080987E-06,-1.853641E-06,-1.088845E+02,-5.416236E-01
+1.049805E+01,+2.073997E-07,+6.038895E-06,-1.043757E+02,+1.536466E+00
