FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.203399E-04,+0.000000E+00,-6.988778E+01,+3.141593E+00
+2.441406E-01,+2.211929E-04,-3.027250E-05,-7.302398E+01,-1.360152E-01
+4.882812E-01,+3.294908E-06,+6.327783E-06,-1.029331E+02,+1.090722E+00
+7.324219E-01,+3.187516E-06,+5.998920E-06,-1.033585E+02,+1.082386E+00
+9.765625E-01,-3.018053E-06,-6.488702E-06,-1.029063E+02,-2.006156E+00
+1.220703E+00,+7.928886E-07,+1.327715E-06,-1.162133E+02,+1.032451E+00
+1.464844E+00,+1.809123E-07,+1.764984E-05,-9.506473E+01,+1.560547E+00
+1.708984E+00,-1.076832E-06,-2.079372E-05,-9.362972E+01,-1.622536E+00
+1.953125E+00,+2.723406E-06,+1.040997E-05,-9.936349E+01,+1.314916E+00
+2.197266E+00,-1.598214E-06,+6.590031E-07,-1.152454E+02,+2.750496E+00
+2.441406E+00,+1.374463E-06,-4.632709E-06,-1.063169E+02,-1.282382E+00
+2.685547E+00,-1.971215E-06,+4.443965E-06,-1.062645E+02,+1.988291E+00
+2.929688E+00,-9.921289E-08,-2.255266E-06,-1.129276E+02,-1.614760E+00
+3.173828E+00,-2.802451E-06,-6.630383E-06,-1.028554E+02,-1.970690E+00
+3.417969E+00,+1.100189E-05,+1.525858E-05,-9.451161E+01,+9.460953E-01
+3.662109E+00,-3.793499E-06,-1.672538E-05,-9.531462E+01,-1.793834E+00
+3.906250E+00,-4.746419E-06,+1.000117E-05,-9.911681E+01,+2.013907E+00
+4.150391E+00,+1.152676E-06,+1.693433E-06,-1.137712E+02,+9.731588E-01
+4.394531E+00,+2.403530E-06,-6.052824E-06,-1.037249E+02,-1.192799E+00
+4.638672E+00,-3.477973E-06,+4.118937E-07,-1.091130E+02,+3.023712E+00
+4.882812E+00,+3.195351E-06,-1.076633E-06,-1.094426E+02,-3.249905E-01
+5.126953E+00,+1.094751E-06,-1.096844E-06,-1.161951E+02,-7.863535E-01
+5.371094E+00,-1.641037E-06,+1.077661E-05,-9.925080E+01,+1.721913E+00
+5.615234E+00,+1.336733E-07,-1.051402E-05,-9.956392E+01,-1.558083E+00
