FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.277862E-04,+0.000000E+00,-6.737547E+01,+3.141593E+00
+2.441406E-01,+3.071434E-04,-2.469311E-05,-7.022520E+01,-8.022349E-02
+4.882812E-01,-1.757955E-05,+9.628713E-06,-9.396041E+01,+2.640500E+00
+7.324219E-01,+1.050987E-05,+5.256154E-06,-9.859855E+01,+4.637403E-01
+9.765625E-01,+8.117597E-06,-2.423775E-06,-1.014406E+02,-2.901561E-01
+1.220703E+00,-1.375394E-05,+4.952374E-06,-9.670203E+01,+2.795976E+00
+1.464844E+00,+1.064936E-05,-6.439038E-06,-9.810033E+01,-5.438249E-01
+1.708984E+00,-3.681691E-06,+3.168004E-06,-1.062725E+02,+2.431048E+00
+1.953125E+00,+6.243017E-06,+6.918817E-07,-1.040391E+02,+1.103745E-01
+2.197266E+00,-1.093508E-05,-3.102849E-06,-9.888725E+01,-2.865108E+00
+2.441406E+00,+1.190556E-05,+1.236061E-05,-9.530875E+01,+8.041482E-01
+2.685547E+00,-1.341477E-05,-2.412639E-05,-9.118023E+01,-2.078250E+00
+2.929688E+00,+1.312899E-05,+2.178456E-05,-9.189137E+01,+1.028413E+00
+3.173828E+00,-8.737315E-06,-9.249299E-06,-9.790779E+01,-2.327737E+00
+3.417969E+00,+7.183593E-06,-1.453780E-06,-1.026988E+02,-1.996783E-01
+3.662109E+00,-6.910954E-06,-4.048512E-06,-1.019279E+02,-2.611672E+00
+3.906250E+00,+4.047315E-06,+9.610136E-06,-9.963629E+01,+1.172191E+00
+4.150391E+00,+3.005927E-07,-4.083910E-06,-1.077550E+02,-1.497325E+00
+4.394531E+00,-1.733323E-06,+1.735324E-06,-1.122071E+02,+2.355618E+00
+4.638672E+00,-2.340518E-06,+4.206013E-06,-1.063510E+02,+2.078593E+00
+4.882812E+00,+4.180533E-06,-1.167998E-05,-9.812764E+01,-1.227081E+00
+5.126953E+00,-2.367746E-06,+1.047158E-05,-9.938321E+01,+1.793169E+00
+5.371094E+00,+5.326788E-06,-3.831708E-06,-1.036596E+02,-6.235805E-01
+5.615234E+00,-1.001961E-05,-7.011835E-07,-9.996177E+01,-3.071725E+00
+5.859375E+00,+4.355237E-06,+4.742716E-07,-1.071686E+02,+1.084694E-01
+6.103516E+00,+4.016760E-06,-3.973289E-06,-1.049592E+02,-7.799575E-01
+6.347656E+00,+6.930440E-07,+5.172142E-06,-1.056493E+02,+1.437594E+00
+6.591797E+00,-1.162926E-06,+1.305022E-06,-1.151492E+02,+2.298681E+00
+6.835938E+00,-8.044869E-06,-6.788320E-06,-9.955456E+01,-2.440705E+00
+7.080078E+00,+6.574484E-06,+9.000437E-06,-9.905768E+01,+9.399167E-01
+7.324219E+00,+2.931233E-06,-3.671738E-06,-1.065612E+02,-8.970787E-01
+7.568359E+00,-5.855011E-06,-5.397180E-06,-1.019784E+02,-2.396860E+00
+7.812500E+00,-1.255330E-06,+1.994204E-06,-1.125549E+02,+2.132617E+00
+8.056641E+00,+5.656510E-06,+4.340138E-06,-1.029385E+02,+6.544701E-01
+8.300781E+00,+7.100607E-07,-4.138225E-06,-1.075377E+02,-1.400865E+00
+8.544922E+00,-6.091712E-06,+1.882796E-06,-1.039090E+02,+2.841831E+00
