FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.799977E-04,+0.000000E+00,-6.840438E+01,+3.141593E+00
+2.441406E-01,+2.432616E-04,-1.190534E-05,-7.226814E+01,-4.890149E-02
+4.882812E-01,+2.082050E-05,-1.802430E-05,-9.120120E+01,-7.135381E-01
+7.324219E-01,+1.168431E-05,+1.360226E-05,-9.492759E+01,+8.611019E-01
+9.765625E-01,-5.011882E-06,-3.006827E-06,-1.046648E+02,-2.601218E+00
+1.220703E+00,-5.310452E-06,-1.407356E-06,-1.052026E+02,-2.882532E+00
+1.464844E+00,+1.676151E-07,+6.857890E-06,-1.032736E+02,+1.546360E+00
+1.708984E+00,+3.837423E-06,+2.716327E-06,-1.065552E+02,+6.159763E-01
+1.953125E+00,+1.466340E-07,-6.827758E-06,-1.033124E+02,-1.549323E+00
+2.197266E+00,-3.552940E-06,-7.126821E-06,-1.019781E+02,-2.033268E+00
+2.441406E+00,-2.456454E-06,+2.308562E-05,-9.268427E+01,+1.676804E+00
+2.685547E+00,+1.284672E-05,-1.839428E-05,-9.298097E+01,-9.611393E-01
+2.929688E+00,-1.582907E-05,+2.598801E-05,-9.033418E+01,+2.117874E+00
+3.173828E+00,+1.134682E-05,-3.700406E-05,-8.824474E+01,-1.273262E+00
+3.417969E+00,-3.046618E-07,+1.235075E-05,-9.816349E+01,+1.595459E+00
+3.662109E+00,-4.021423E-06,+4.751515E-06,-1.041174E+02,+2.273165E+00
+3.906250E+00,+1.389092E-06,+4.231533E-06,-1.070256E+02,+1.253608E+00
+4.150391E+00,-1.027728E-06,-7.411459E-06,-1.025192E+02,-1.708585E+00
+4.394531E+00,+1.234323E-06,+6.021124E-06,-1.042277E+02,+1.368599E+00
+4.638672E+00,-8.106175E-07,-4.086439E-06,-1.076055E+02,-1.766622E+00
+4.882812E+00,+6.863372E-06,+8.487178E-07,-1.032033E+02,+1.230344E-01
+5.126953E+00,-1.220785E-05,-3.128951E-06,-9.799089E+01,-2.890687E+00
+5.371094E+00,-4.453306E-07,+3.437868E-06,-1.092020E+02,+1.699616E+00
+5.615234E+00,+1.809481E-05,+5.864966E-06,-9.441507E+01,+3.134396E-01
+5.859375E+00,-1.612538E-05,-7.800597E-06,-9.493661E+01,-2.691032E+00
+6.103516E+00,+7.540245E-08,-6.526936E-07,-1.236482E+02,-1.455781E+00
+6.347656E+00,+9.661144E-06,+1.372787E-06,-1.002126E+02,+1.411487E-01
+6.591797E+00,-6.954770E-06,+4.381703E-06,-1.017026E+02,+2.579386E+00
+6.835938E+00,-2.309409E-06,-1.145430E-06,-1.117748E+02,-2.681163E+00
+7.080078E+00,+3.744459E-06,-4.903765E-06,-1.041944E+02,-9.186552E-01
+7.324219E+00,+6.487795E-06,-1.370557E-06,-1.035684E+02,-2.081906E-01
+7.568359E+00,-4.490721E-06,+8.772948E-06,-1.001264E+02,+2.043905E+00
+7.812500E+00,-7.480459E-06,-6.722932E-06,-9.995012E+01,-2.409478E+00
+8.056641E+00,+8.842281E-06,-3.964088E-07,-1.010600E+02,-4.480105E-02
+8.300781E+00,-1.618847E-06,+9.571399E-07,-1.145139E+02,+2.607633E+00
+8.544922E+00,-5.143845E-06,+6.681360E-06,-1.014813E+02,+2.226900E+00
+8.789062E+00,+5.342742E-06,-1.034602E-05,-9.867789E+01,-1.094111E+00
+9.033203E+00,-1.869289E-06,+6.482448E-06,-1.034183E+02,+1.851542E+00
+9.277344E+00,+1.466253E-06,+8.796845E-07,-1.153406E+02,+5.403856E-01
+9.521484E+00,-5.195609E-06,+1.634010E-07,-1.056830E+02,+3.110153E+00
+9.765625E+00,+1.301509E-05,-5.935536E-06,-9.689045E+01,-4.278739E-01
+1.000977E+01,-1.400940E-05,-6.869871E-07,-9.706117E+01,-3.092594E+00
+1.025391E+01,-8.835927E-07,+9.059938E-07,-1.179546E+02,+2.343678E+00
+1.049805E+01,+1.107624E-05,+6.848484E-06,-9.770614E+01,+5.537699E-01
+1.074219E+01,-2.082246E-06,-5.833783E-06,-1.041602E+02,-1.913630E+00
+1.098633E+01,-3.661900E-06,-1.138816E-09,-1.087259E+02,-3.141282E+00
+1.123047E+01,-1.352352E-06,+7.260078E-07,-1.162784E+02,+2.648903E+00
+1.147461E+01,+5.538036E-06,+4.203725E-06,-1.031568E+02,+6.492770E-01
+1.171875E+01,-8.660196E-06,-4.763357E-06,-1.001016E+02,-2.638727E+00
+1.196289E+01,+1.183737E-05,+1.086999E-06,-9.849843E+01,+9.157091E-02
+1.220703E+01,-9.398484E-06,+3.248343E-06,-1.000488E+02,+2.808821E+00
+1.245117E+01,+2.223434E-06,-1.376933E-06,-1.116497E+02,-5.544772E-01
+1.269531E+01,+3.295069E-07,-1.088261E-05,-9.926136E+01,-1.540527E+00
+1.293945E+01,-2.735535E-07,+1.635628E-05,-9.572510E+01,+1.587519E+00
+1.318359E+01,+3.994128E-06,-6.583718E-06,-1.022696E+02,-1.025489E+00
+1.342773E+01,-4.198669E-06,-3.212042E-07,-1.075124E+02,-3.065240E+00
+1.367188E+01,-1.905901E-06,-4.108174E-06,-1.068804E+02,-2.005173E+00
+1.391602E+01,+7.631518E-06,+1.489920E-06,-1.021853E+02,+1.928072E-01
+1.416016E+01,-5.099996E-06,+7.447667E-06,-1.008896E+02,+2.171233E+00
+1.440430E+01,-1.011274E-06,-1.126595E-05,-9.892979E+01,-1.660320E+00
+1.464844E+01,-8.176999E-07,+1.403456E-06,-1.157867E+02,+2.098348E+00
+1.489258E+01,+6.288853E-06,+1.272944E-05,-9.695535E+01,+1.111928E+00
+1.513672E+01,-4.322487E-06,-9.390405E-06,-9.971170E+01,-2.002190E+00
+1.538086E+01,-1.495232E-07,-1.540978E-06,-1.162034E+02,-1.667525E+00
+1.562500E+01,-1.900822E-06,-3.057849E-08,-1.144201E+02,-3.125507E+00
+1.586914E+01,+1.423098E-06,+5.823229E-06,-1.044448E+02,+1.331111E+00
+1.611328E+01,-8.790632E-08,-8.568822E-06,-1.013411E+02,-1.581055E+00
+1.635742E+01,-3.652391E-06,+7.784752E-06,-1.013111E+02,+2.009479E+00
+1.660156E+01,+4.703769E-06,+1.916214E-07,-1.065439E+02,+4.071533E-02
+1.684570E+01,+5.069089E-06,-5.131644E-06,-1.028375E+02,-7.915305E-01
+1.708984E+01,-8.199085E-06,-1.498189E-06,-1.015820E+02,-2.960860E+00
+1.733398E+01,-1.440032E-06,+8.076249E-06,-1.017199E+02,+1.747247E+00
+1.757812E+01,+5.779666E-06,-5.725517E-06,-1.017923E+02,-7.806917E-01
+1.782227E+01,-4.270773E-06,+7.812880E-06,-1.010083E+02,+2.071050E+00
+1.806641E+01,+3.062770E-06,-1.453293E-05,-9.656421E+01,-1.363089E+00
+1.831055E+01,+2.122507E-06,+9.536182E-06,-1.002025E+02,+1.351792E+00
+1.855469E+01,-2.890263E-06,+6.468762E-07,-1.105690E+02,+2.921409E+00
+1.879883E+01,-1.980516E-06,-5.616535E-06,-1.045016E+02,-1.909805E+00
+1.904297E+01,+4.199071E-06,+1.299314E-06,-1.071398E+02,+3.000846E-01
+1.928711E+01,-4.697555E-06,+3.920804E-06,-1.042667E+02,+2.446079E+00
+1.953125E+01,+1.455543E-06,-1.629647E-07,-1.166854E+02,-1.114971E-01
+1.977539E+01,-1.210849E-06,-1.611184E-06,-1.139125E+02,-2.215274E+00
+2.001953E+01,+1.893475E-06,-1.139477E-06,-1.131126E+02,-5.417356E-01
+2.026367E+01,+3.689093E-06,+1.440954E-06,-1.080450E+02,+3.723755E-01
+2.050781E+01,-7.405940E-06,+7.358211E-08,-1.026080E+02,+3.131657E+00
+2.075195E+01,-3.852630E-06,+1.356605E-06,-1.077772E+02,+2.803027E+00
+2.099609E+01,+1.624745E-05,-2.464113E-06,-9.568553E+01,-1.505145E-01
+2.124023E+01,-7.962877E-06,+4.028193E-07,-1.019675E+02,+3.091048E+00
+2.148438E+01,-2.135294E-06,-3.227141E-06,-1.082466E+02,-2.155330E+00
+2.172852E+01,-4.684325E-06,+2.544732E-06,-1.054640E+02,+2.643951E+00
+2.197266E+01,+1.012929E-05,+4.153428E-06,-9.921349E+01,+3.891326E-01
+2.221680E+01,-5.958312E-06,-4.241288E-06,-1.027173E+02,-2.522973E+00
+2.246094E+01,+3.385020E-06,-2.349884E-07,-1.093879E+02,-6.930890E-02
+2.270508E+01,-5.234140E-06,+4.075129E-06,-1.035652E+02,+2.480058E+00
+2.294922E+01,+2.484644E-06,-7.392457E-06,-1.021594E+02,-1.246553E+00
+2.319336E+01,-5.405674E-07,+1.060286E-05,-9.948027E+01,+1.621735E+00
+2.343750E+01,+1.986390E-07,-6.451403E-06,-1.038028E+02,-1.540016E+00
+2.368164E+01,+3.547890E-07,+4.120809E-06,-1.076683E+02,+1.484911E+00
+2.392578E+01,-1.937028E-06,-7.316103E-06,-1.024202E+02,-1.829620E+00
+2.416992E+01,+3.161310E-06,+2.361870E-06,-1.080765E+02,+6.416536E-01
+2.441406E+01,-5.311341E-07,+7.331479E-06,-1.026734E+02,+1.643116E+00
+2.465820E+01,+9.593755E-07,-1.177890E-05,-9.854919E+01,-1.489527E+00
+2.490234E+01,-5.776918E-06,+1.135614E-05,-9.789589E+01,+2.041383E+00
+2.514648E+01,+6.282869E-06,-3.823472E-06,-1.026686E+02,-5.466863E-01
+2.539062E+01,+1.533695E-06,-3.820486E-06,-1.077087E+02,-1.189049E+00
