FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-2.785404E-04,+0.000000E+00,-7.110223E+01,+3.141593E+00
+2.441406E-01,+1.712647E-04,-2.240710E-05,-7.525293E+01,-1.300942E-01
+4.882812E-01,+3.281437E-05,+4.985602E-06,-8.957961E+01,+1.507803E-01
+7.324219E-01,-1.883049E-05,-1.510051E-05,-9.234620E+01,-2.465683E+00
+9.765625E-01,+1.885186E-05,+1.914341E-05,-9.141545E+01,+7.930715E-01
+1.220703E+00,-1.669038E-05,-8.493285E-06,-9.455058E+01,-2.670872E+00
+1.464844E+00,+1.210622E-05,+7.932877E-06,-9.678835E+01,+5.800732E-01
+1.708984E+00,-5.780525E-06,-1.287510E-06,-1.045504E+02,-2.922438E+00
+1.953125E+00,+6.796347E-06,+2.010923E-06,-1.029900E+02,+2.876753E-01
+2.197266E+00,-1.035491E-05,-1.088065E-05,-9.646636E+01,-2.331442E+00
+2.441406E+00,+7.489684E-06,+8.289165E-06,-9.903766E+01,+8.360227E-01
+2.685547E+00,+7.190037E-07,+3.704616E-06,-1.084645E+02,+1.379096E+00
+2.929688E+00,+9.835735E-07,-6.331331E-06,-1.038665E+02,-1.416678E+00
+3.173828E+00,-5.917429E-06,+4.415990E-06,-1.026347E+02,+2.500484E+00
+3.417969E+00,+5.416729E-06,-1.457121E-05,-9.616794E+01,-1.214885E+00
+3.662109E+00,+1.125945E-06,+1.608870E-05,-9.584836E+01,+1.500927E+00
+3.906250E+00,-6.232236E-06,+8.754383E-07,-1.040223E+02,+3.002036E+00
+4.150391E+00,+3.516367E-06,-3.139286E-06,-1.065326E+02,-7.288029E-01
+4.394531E+00,-2.493369E-06,-7.405521E-07,-1.116971E+02,-2.852882E+00
+4.638672E+00,+8.199429E-06,-5.085488E-06,-1.003108E+02,-5.551580E-01
+4.882812E+00,-1.213344E-05,+2.630717E-06,-9.812081E+01,+2.928082E+00
+5.126953E+00,+1.088940E-05,+3.672911E-06,-9.879198E+01,+3.253094E-01
+5.371094E+00,-8.363937E-06,-3.438607E-06,-1.008736E+02,-2.751534E+00
+5.615234E+00,+5.264897E-06,-5.194281E-06,-1.026202E+02,-7.786466E-01
+5.859375E+00,-2.340851E-06,+1.259075E-05,-9.785139E+01,+1.754616E+00
+6.103516E+00,+2.856897E-06,-8.495160E-06,-1.009512E+02,-1.246381E+00
