FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-5.950194E-04,+0.000000E+00,-6.450938E+01,+3.141593E+00
+2.441406E-01,+4.151421E-04,+3.932619E-06,-6.763567E+01,+9.472664E-03
+4.882812E-01,+1.430239E-05,-1.643067E-05,-9.323741E+01,-8.545385E-01
+7.324219E-01,-7.634604E-06,+8.316129E-06,-9.894676E+01,+2.313494E+00
+9.765625E-01,+1.554132E-06,+4.918060E-06,-1.057507E+02,+1.264721E+00
+1.220703E+00,-1.266747E-05,-1.744569E-06,-9.786461E+01,-3.004733E+00
+1.464844E+00,+1.462700E-05,+2.524617E-06,-9.656940E+01,+1.709158E-01
+1.708984E+00,-1.390553E-05,-9.836602E-06,-9.537418E+01,-2.525926E+00
+1.953125E+00,+1.411267E-05,+1.079408E-05,-9.500754E+01,+6.529374E-01
+2.197266E+00,-1.228408E-05,-8.190254E-06,-9.661586E+01,-2.553541E+00
+2.441406E+00,+7.677946E-06,+1.266475E-05,-9.658868E+01,+1.025797E+00
+2.685547E+00,-3.122513E-06,-1.110141E-05,-9.876176E+01,-1.844984E+00
+2.929688E+00,+3.488298E-07,+1.654948E-06,-1.154355E+02,+1.363057E+00
+3.173828E+00,+3.945486E-06,-8.731831E-09,-1.080780E+02,-2.213115E-03
+3.417969E+00,-3.867120E-06,+7.928543E-06,-1.010893E+02,+2.024593E+00
+3.662109E+00,-4.389498E-06,+1.575320E-06,-1.066255E+02,+2.797025E+00
+3.906250E+00,+1.946059E-05,-1.508281E-05,-9.217381E+01,-6.593375E-01
+4.150391E+00,-2.328600E-05,+3.851884E-06,-9.254086E+01,+2.977661E+00
+4.394531E+00,+3.603926E-06,+1.017268E-05,-9.933780E+01,+1.230318E+00
+4.638672E+00,+5.390061E-06,+2.023393E-06,-1.047956E+02,+3.591154E-01
+4.882812E+00,+1.539636E-05,-1.954295E-05,-9.208327E+01,-9.035255E-01
+5.126953E+00,-2.639117E-05,+5.723613E-06,-9.137122E+01,+2.928024E+00
+5.371094E+00,-4.044001E-06,+1.033478E-05,-9.909524E+01,+1.943780E+00
+5.615234E+00,+2.124011E-05,+4.023292E-06,-9.330376E+01,+1.872016E-01
+5.859375E+00,-5.572610E-06,-1.479706E-05,-9.602048E+01,-1.930971E+00
+6.103516E+00,-5.592899E-06,+1.346227E-05,-9.672614E+01,+1.964550E+00
+6.347656E+00,+3.553095E-06,+1.772337E-06,-1.080229E+02,+4.626991E-01
+6.591797E+00,+2.119435E-06,+5.532529E-06,-1.045468E+02,+1.204955E+00
+6.835938E+00,+7.367963E-06,-2.667723E-06,-1.021181E+02,-3.473874E-01
+7.080078E+00,+1.391983E-06,-4.775816E-06,-1.060649E+02,-1.287188E+00
+7.324219E+00,-4.854701E-06,-9.861499E-06,-9.917870E+01,-2.028255E+00
+7.568359E+00,+2.994732E-06,+1.749311E-06,-1.091979E+02,+5.286680E-01
+7.812500E+00,+2.214949E-06,-7.896393E-06,-1.017225E+02,-1.297323E+00
+8.056641E+00,-9.815953E-06,+1.379388E-05,-9.542687E+01,+2.189276E+00
+8.300781E+00,+5.103476E-06,-7.368235E-06,-1.009509E+02,-9.650324E-01
+8.544922E+00,-4.251690E-06,+6.681991E-07,-1.073228E+02,+2.985707E+00
+8.789062E+00,-3.220155E-06,+2.339505E-07,-1.098196E+02,+3.069068E+00
+9.033203E+00,+8.646667E-06,+1.185650E-06,-1.011821E+02,+1.362724E-01
+9.277344E+00,-6.734059E-06,-3.592093E-06,-1.023470E+02,-2.651567E+00
+9.521484E+00,+1.462369E-06,+7.650559E-06,-1.021703E+02,+1.381929E+00
+9.765625E+00,+4.997469E-06,-6.802573E-06,-1.014722E+02,-9.371958E-01
+1.000977E+01,-3.578908E-06,+1.503883E-06,-1.082188E+02,+2.743788E+00
+1.025391E+01,+1.896037E-06,+4.589599E-06,-1.060802E+02,+1.179034E+00
+1.049805E+01,-4.988299E-06,+1.347547E-06,-1.057350E+02,+2.877749E+00
+1.074219E+01,-5.760688E-08,-6.893271E-06,-1.032312E+02,-1.579153E+00
+1.098633E+01,+4.432240E-06,-1.110698E-06,-1.068030E+02,-2.455388E-01
+1.123047E+01,+3.736585E-07,+1.238976E-06,-1.177607E+02,+1.277885E+00
+1.147461E+01,-4.844434E-06,+4.483002E-06,-1.036085E+02,+2.394925E+00
+1.171875E+01,+6.691922E-06,-8.530438E-06,-9.929776E+01,-9.055933E-01
