FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-2.971730E-04,+0.000000E+00,-7.053981E+01,+3.141593E+00
+2.441406E-01,+1.879753E-04,-6.326248E-06,-7.451307E+01,-3.364198E-02
+4.882812E-01,+3.149115E-05,+7.597907E-07,-9.003371E+01,+2.412244E-02
+7.324219E-01,-8.012096E-08,+5.152190E-06,-1.057591E+02,+1.586346E+00
+9.765625E-01,-2.249462E-05,-5.168999E-06,-9.273495E+01,-2.915725E+00
+1.220703E+00,+1.161502E-05,+1.662349E-06,-9.861154E+01,+1.421552E-01
+1.464844E+00,+7.625039E-06,+1.047623E-06,-1.022739E+02,+1.365376E-01
+1.708984E+00,-9.460003E-06,-8.191944E-07,-1.004497E+02,-3.055212E+00
+1.953125E+00,+9.646261E-06,+1.203406E-06,-1.002458E+02,+1.241124E-01
+2.197266E+00,-1.225479E-05,-3.279112E-06,-9.793356E+01,-2.880140E+00
+2.441406E+00,+1.144678E-05,-5.053287E-06,-9.805307E+01,-4.157289E-01
+2.685547E+00,-4.148791E-06,+1.572663E-05,-9.577510E+01,+1.828727E+00
+2.929688E+00,-8.863156E-06,-4.167794E-06,-1.001806E+02,-2.702037E+00
+3.173828E+00,+9.127649E-06,-5.574773E-06,-9.941604E+01,-5.482913E-01
+3.417969E+00,+7.054386E-07,-2.489788E-08,-1.230254E+02,-3.527955E-02
+3.662109E+00,-3.350242E-06,+7.221666E-06,-1.019807E+02,+2.005162E+00
+3.906250E+00,+1.875742E-06,-4.863711E-06,-1.056584E+02,-1.202712E+00
+4.150391E+00,-4.703853E-06,-3.814117E-06,-1.043565E+02,-2.460271E+00
+4.394531E+00,+1.149799E-05,+3.796457E-06,-9.833817E+01,+3.189139E-01
+4.638672E+00,-4.886704E-06,-1.199566E-06,-1.059656E+02,-2.900877E+00
+4.882812E+00,-8.261080E-06,-2.350531E-06,-1.013212E+02,-2.864388E+00
+5.126953E+00,+5.017899E-06,+9.245863E-06,-9.955989E+01,+1.073561E+00
+5.371094E+00,+5.733274E-06,-1.211397E-05,-9.745648E+01,-1.128754E+00
+5.615234E+00,-5.529005E-06,+4.431151E-06,-1.029925E+02,+2.465976E+00
+5.859375E+00,+1.510160E-06,+1.180748E-06,-1.143477E+02,+6.635877E-01
+6.103516E+00,+1.053410E-06,+2.494801E-06,-1.113468E+02,+1.171264E+00
+6.347656E+00,-3.106324E-06,-7.485797E-06,-1.018252E+02,-1.964134E+00
+6.591797E+00,+3.809960E-07,+1.033045E-05,-9.971170E+01,+1.533932E+00
+6.835938E+00,-6.612094E-08,-5.716216E-06,-1.048572E+02,-1.582363E+00
+7.080078E+00,+6.637516E-06,+1.544222E-06,-1.033310E+02,+2.285843E-01
