Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-01
Vertical Offset,+6.666667E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
+4.1919760479E-02,-6.208333E-02
+4.2419760479E-02,-1.770833E-02
+4.2919760479E-02,+3.437500E-02
+4.3419760479E-02,+1.737500E-01
+4.3919760479E-02,-2.750000E-02
+4.4419760479E-02,-1.243750E-01
+4.4919760479E-02,-4.020834E-02
+4.5419760479E-02,-1.020833E-02
+4.5919760479E-02,+7.812500E-02
+4.6419760479E-02,+1.558333E-01
+4.6919760479E-02,-1.172917E-01
+4.7419760479E-02,-9.270833E-02
+4.7919760479E-02,-2.770833E-02
+4.8419760479E-02,+3.541667E-03
+4.8919760479E-02,+1.314583E-01
+4.9419760479E-02,+8.270834E-02
+4.9919760479E-02,-1.404167E-01
+5.0419760479E-02,-6.208333E-02
+5.0919760479E-02,-2.166667E-02
+5.1419760479E-02,+3.250000E-02
+5.1919760479E-02,+1.695833E-01
+5.2419760479E-02,-2.770833E-02
+5.2919760479E-02,-1.229167E-01
+5.3419760479E-02,-4.104167E-02
+5.3919760479E-02,-1.604167E-02
+5.4419760479E-02,+7.500000E-02
+5.4919760479E-02,+1.656250E-01
+5.5419760479E-02,-1.081250E-01
+5.5919760479E-02,-9.250000E-02
+5.6419760479E-02,-3.145833E-02
+5.6919760479E-02,-2.083333E-04
+5.7419760479E-02,+1.258333E-01
+5.7919760479E-02,+8.500000E-02
+5.8419760479E-02,-1.343750E-01
+5.8919760479E-02,-6.229167E-02
+5.9419760479E-02,-2.812500E-02
+5.9919760479E-02,+3.208333E-02
+6.0419760479E-02,+1.729167E-01
+6.0919760479E-02,-2.354167E-02
+6.1419760479E-02,-1.191667E-01
+6.1919760479E-02,-4.312500E-02
+6.2419760479E-02,-2.250000E-02
+6.2919760479E-02,+7.395834E-02
+6.3419760479E-02,+1.602083E-01
+6.3919760479E-02,-1.033333E-01
+6.4419760479E-02,-8.791667E-02
+6.4919760479E-02,-3.437500E-02
+6.5419760479E-02,+0.000000E+00
+6.5919760479E-02,+1.289583E-01
