FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-5.139436E-04,+0.000000E+00,-6.578169E+01,+3.141593E+00
+2.441406E-01,+3.694590E-04,-4.722822E-05,-6.857828E+01,-1.271412E-01
+4.882812E-01,-2.836392E-06,+1.770664E-05,-9.492725E+01,+1.729635E+00
+7.324219E-01,-1.655324E-05,+2.073547E-06,-9.555473E+01,+3.016976E+00
+9.765625E-01,+3.087791E-05,-2.655973E-06,-9.017503E+01,-8.580412E-02
+1.220703E+00,-2.995843E-05,-1.149330E-05,-8.987331E+01,-2.775268E+00
+1.464844E+00,+1.938726E-05,+2.210913E-05,-9.063145E+01,+8.508972E-01
+1.708984E+00,-1.354739E-05,-6.736057E-06,-9.640343E+01,-2.680170E+00
+1.953125E+00,-2.269638E-06,-5.637496E-06,-1.043259E+02,-1.953539E+00
+2.197266E+00,+1.180214E-05,+6.211920E-06,-9.749877E+01,+4.844958E-01
+2.441406E+00,+6.168501E-07,-6.275662E-07,-1.211107E+02,-7.940093E-01
+2.685547E+00,-3.027756E-06,-6.589917E-07,-1.101766E+02,-2.927285E+00
+2.929688E+00,-3.502093E-06,+9.681353E-07,-1.087936E+02,+2.871884E+00
+3.173828E+00,+1.042887E-05,-7.901714E-06,-9.766501E+01,-6.483961E-01
+3.417969E+00,-9.294076E-06,+1.313813E-05,-9.586716E+01,+2.186480E+00
+3.662109E+00,+1.369826E-06,-1.019655E-05,-9.975326E+01,-1.437254E+00
+3.906250E+00,+2.843187E-06,+2.593399E-06,-1.082946E+02,+7.394847E-01
+4.150391E+00,-6.687141E-06,-9.093449E-07,-1.034156E+02,-3.006438E+00
+4.394531E+00,+9.405422E-06,+3.805509E-06,-9.987400E+01,+3.844724E-01
+4.638672E+00,-5.052790E-07,-1.592420E-06,-1.155422E+02,-1.878050E+00
+4.882812E+00,-1.031207E-05,-9.940081E-07,-9.969292E+01,-3.045497E+00
+5.126953E+00,+8.230999E-06,-3.376672E-06,-1.010154E+02,-3.893013E-01
+5.371094E+00,-6.346994E-06,+4.096646E-06,-1.024362E+02,+2.568425E+00
+5.615234E+00,+8.169942E-06,+1.664843E-06,-1.015789E+02,+2.010243E-01
+5.859375E+00,-8.352611E-06,+4.325508E-06,-1.005317E+02,+2.663757E+00
+6.103516E+00,+9.903860E-06,-1.557738E-05,-9.467575E+01,-1.004479E+00
+6.347656E+00,-5.839675E-06,+6.621996E-06,-1.010817E+02,+2.293499E+00
+6.591797E+00,-6.554353E-07,+5.272634E-06,-1.054929E+02,+1.694471E+00
+6.835938E+00,+2.282733E-06,-7.065103E-06,-1.025864E+02,-1.258284E+00
+7.080078E+00,-4.513109E-06,+5.948696E-06,-1.025372E+02,+2.219824E+00
+7.324219E+00,+4.756824E-06,+1.507757E-06,-1.060379E+02,+3.069494E-01
+7.568359E+00,+3.766449E-06,-6.783311E-06,-1.022041E+02,-1.063930E+00
+7.812500E+00,-5.598648E-06,+7.555829E-06,-1.005337E+02,+2.208494E+00
+8.056641E+00,-2.360968E-06,-8.737376E-06,-1.008663E+02,-1.834708E+00
+8.300781E+00,+7.469466E-06,+8.737377E-06,-9.878983E+01,+8.634722E-01
+8.544922E+00,-8.932810E-06,-8.811721E-06,-9.802880E+01,-2.363019E+00
+8.789062E+00,+8.821622E-06,+8.604721E-06,-9.818550E+01,+7.729521E-01
+9.033203E+00,-3.800270E-06,-7.241737E-06,-1.017467E+02,-2.054066E+00
+9.277344E+00,+2.584572E-07,+6.789104E-07,-1.227760E+02,+1.207043E+00
+9.521484E+00,-7.657307E-06,+1.264777E-06,-1.022016E+02,+2.977898E+00
+9.765625E+00,+9.800983E-06,+3.501914E-06,-9.965280E+01,+3.431653E-01
+1.000977E+01,-5.578660E-06,-3.496682E-06,-1.036303E+02,-2.581703E+00
+1.025391E+01,+6.615837E-06,+5.868260E-06,-1.010676E+02,+7.255873E-01
+1.049805E+01,-7.141628E-06,-1.499463E-05,-9.559340E+01,-2.015288E+00
+1.074219E+01,+5.677604E-06,+1.033772E-05,-9.856662E+01,+1.068558E+00
+1.098633E+01,-2.134102E-06,+3.261003E-06,-1.081848E+02,+2.150280E+00
+1.123047E+01,-1.483800E-07,-4.086838E-06,-1.077665E+02,-1.607087E+00
+1.147461E+01,-8.097562E-07,-1.578622E-06,-1.150200E+02,-2.044751E+00
+1.171875E+01,+3.913072E-06,+2.071540E-06,-1.070767E+02,+4.868820E-01
+1.196289E+01,-6.856244E-06,-1.608889E-07,-1.032759E+02,-3.118131E+00
+1.220703E+01,+6.349991E-06,-2.182695E-06,-1.034595E+02,-3.310800E-01
+1.245117E+01,-3.551879E-06,+2.304278E-06,-1.074653E+02,+2.566097E+00
+1.269531E+01,-9.176716E-07,+5.558736E-06,-1.049837E+02,+1.734407E+00
+1.293945E+01,-4.701478E-06,-1.227161E-05,-9.762717E+01,-1.936665E+00
+1.318359E+01,+1.091873E-05,+9.285672E-06,-9.687310E+01,+7.047467E-01
+1.342773E+01,-1.631256E-06,-1.385138E-06,-1.133917E+02,-2.437608E+00
+1.367188E+01,-8.976506E-06,-3.352077E-06,-1.003709E+02,-2.784201E+00
+1.391602E+01,+9.640724E-06,-1.710722E-06,-1.001832E+02,-1.756194E-01
+1.416016E+01,-7.060679E-06,+3.610702E-06,-1.020142E+02,+2.668881E+00
+1.440430E+01,+6.477921E-06,-7.359320E-07,-1.037156E+02,-1.131212E-01
+1.464844E+01,-1.369910E-06,+2.567158E-06,-1.107227E+02,+2.060984E+00
+1.489258E+01,-7.235024E-06,-5.573894E-06,-1.007876E+02,-2.485160E+00
+1.513672E+01,+4.625980E-06,+9.516400E-06,-9.950931E+01,+1.118325E+00
+1.538086E+01,+8.315464E-07,-6.218547E-06,-1.040493E+02,-1.437865E+00
+1.562500E+01,+2.099056E-06,-4.325897E-06,-1.063602E+02,-1.119034E+00
+1.586914E+01,-8.236214E-06,+7.988086E-07,-1.016448E+02,+3.044908E+00
+1.611328E+01,+9.913171E-06,+9.608269E-06,-9.719901E+01,+7.697806E-01
+1.635742E+01,-1.599975E-06,-9.338461E-06,-1.004688E+02,-1.740481E+00
+1.660156E+01,-7.896384E-06,+5.695820E-06,-1.002321E+02,+2.516701E+00
+1.684570E+01,+1.080999E-06,-3.390360E-06,-1.089746E+02,-1.262142E+00
+1.708984E+01,+9.806207E-06,-8.841312E-07,-1.001348E+02,-8.991724E-02
+1.733398E+01,-8.738558E-06,+2.070550E-06,-1.009340E+02,+2.908939E+00
+1.757812E+01,+6.150200E-06,+1.193247E-06,-1.040617E+02,+1.916368E-01
+1.782227E+01,+1.063901E-06,-4.417078E-06,-1.068524E+02,-1.334437E+00
+1.806641E+01,-6.353113E-06,+8.636069E-06,-9.939515E+01,+2.205049E+00
+1.831055E+01,+1.219382E-06,-7.874517E-06,-1.019726E+02,-1.417165E+00
+1.855469E+01,+1.465911E-06,+1.473880E-06,-1.136439E+02,+7.881088E-01
+1.879883E+01,-5.277734E-06,+7.920882E-07,-1.054543E+02,+2.992623E+00
+1.904297E+01,+3.396199E-06,+6.417523E-07,-1.092278E+02,+1.867599E-01
+1.928711E+01,-3.141975E-06,-3.521771E-06,-1.065218E+02,-2.299262E+00
+1.953125E+01,+9.447929E-06,+4.704496E-06,-9.953132E+01,+4.619977E-01
+1.977539E+01,+2.275882E-07,+1.355376E-06,-1.172380E+02,+1.404433E+00
+2.001953E+01,-1.171644E-05,-7.836120E-06,-9.701846E+01,-2.552105E+00
+2.026367E+01,+5.804417E-06,+8.921817E-06,-9.945808E+01,+9.940087E-01
+2.050781E+01,+2.832537E-06,-5.377040E-06,-1.043255E+02,-1.085952E+00
+2.075195E+01,-2.060968E-06,+3.161779E-06,-1.084635E+02,+2.148463E+00
+2.099609E+01,-2.212681E-06,-2.796043E-06,-1.089572E+02,-2.240248E+00
+2.124023E+01,-6.180928E-07,+6.026213E-08,-1.241378E+02,+3.044403E+00
+2.148438E+01,+2.286278E-06,-8.986320E-07,-1.121935E+02,-3.745047E-01
+2.172852E+01,+1.733005E-06,+6.294705E-06,-1.037032E+02,+1.302140E+00
+2.197266E+01,-3.428519E-06,-5.404223E-06,-1.038764E+02,-2.136137E+00
+2.221680E+01,-1.073124E-06,+5.184399E-07,-1.184760E+02,+2.691546E+00
+2.246094E+01,+1.985545E-06,+5.155888E-07,-1.137590E+02,+2.540600E-01
+2.270508E+01,+4.167986E-07,+4.003747E-06,-1.079039E+02,+1.467068E+00
+2.294922E+01,+4.332855E-06,-1.009107E-05,-9.918641E+01,-1.165226E+00
+2.319336E+01,-3.237547E-06,+9.910378E-06,-9.963782E+01,+1.886549E+00
+2.343750E+01,-2.388264E-07,-6.923599E-06,-1.031882E+02,-1.605277E+00
+2.368164E+01,-5.864451E-06,+9.374582E-06,-9.912663E+01,+2.129805E+00
+2.392578E+01,+7.619421E-06,-9.110027E-06,-9.850632E+01,-8.742642E-01
+2.416992E+01,-8.590214E-07,+1.488909E-06,-1.152948E+02,+2.094093E+00
+2.441406E+01,-6.922099E-06,+3.492230E-06,-1.022105E+02,+2.674348E+00
