length_m,tension_N,U0,t_peak_s,alpha_theory,alpha_fit,alpha_fit_se,R2,RMSE,n_replicates,alpha_rep_mean,alpha_rep_std,fit_over_theory,tau_fit_s,position,folder
0.255,41.076432,0.09881389231923259,0.01,194.24820326281292,663.6944159300464,3.159944763927996,0.8095525201935893,0.00452557461324245,3,663.1315827990186,92.87738268961829,3.416733873373771,0.015248033226854057,0-1,metingen 25.5 cm
0.255,61.614647999999995,0.100045425333903,0.01,237.90449072316108,273.18414167118385,0.8589495095372432,0.934241594909818,0.004399554457356813,3,274.4096551296598,55.15291756103737,1.1482933375523212,0.036588725348357574,0-2,metingen 25.5 cm
0.255,82.152864,0.08189803156747409,0.01,274.70844352087573,396.8928032541507,2.132597735853075,0.7936480302563271,0.005740570906614864,3,397.33390707746884,56.15763331686266,1.4447783190325925,0.03076474448397899,0-3,metingen 25.5 cm
0.255,102.69108,0.07568851379331154,0.01,307.1333768529199,574.4305845346222,3.929297265115002,0.7542926464422073,0.005975609507175475,3,571.4403844819353,41.60879464217862,1.8702968411333087,0.023000245272786574,0-4,metingen 25.5 cm
0.255,143.641944,0.09915042821753084,0.01,363.24637678357243,353.9648131988842,1.7932673730876683,0.8286763173774108,0.0063485968108167035,3,356.1460113759381,61.49176450894554,0.9744482968643117,0.028493468160939877,1-4,metingen 25.5 cm
0.255,164.117376,0.092063757864766,0.01,388.273666092681,322.8981713251003,0.9229695951702649,0.9558145701575036,0.0035595326797204594,3,303.829002626098,155.60877027407057,0.8316252157261276,0.03363920446062249,2-4,metingen 25.5 cm
0.255,184.592808,0.14901398887362516,0.0172,411.7826481479136,237.24230885324278,0.8949432299111987,0.9050527588738696,0.00707389010256561,3,237.60315593439168,28.700900580245953,0.5761347883896861,0.028286604469931604,3-4,metingen 25.5 cm
0.255,205.06824,0.0969918744219403,0.01125,434.02011341683937,187.23245869435502,0.8284560234966052,0.9136971423334217,0.0069823099429331265,3,184.43528448299494,55.89408574622083,0.43139120263427555,0.05506599705580383,4-4,metingen 25.5 cm
0.27,41.076432,0.04131431342365561,0.0113,173.26460105849668,429.88855835242623,2.9576859048506905,0.8115803310821283,0.004659977257140374,3,430.82090905369637,25.315096591993395,2.481110138632931,0.05630456062076436,0-1,metingen 27 cm
0.27,61.614647999999995,0.10038665370340884,0.01135,212.20493154010353,412.78739664132274,1.653430744314343,0.8630914638172387,0.004736841862706104,3,412.9683080526699,14.168109706178472,1.9452299889803086,0.024132237650598916,0-2,metingen 27 cm
0.27,82.152864,0.09722861096702577,0.01,245.03314869608974,280.5258744686451,1.0814606690964002,0.9027273289437898,0.005246621967214746,3,288.50464249985066,98.81786354421911,1.1448486703183836,0.036663421677178405,0-3,metingen 27 cm
0.27,102.69108,0.13209132195116857,0.01125,273.9553886126353,472.45788887868287,2.504813576564749,0.8476112013371473,0.006888579505290291,3,472.24806145606425,66.85418625586388,1.724579652443793,0.01602369273251246,0-4,metingen 27 cm
0.27,143.641944,0.11070234588289707,0.01125,324.0067990446062,226.37409449496826,0.9714627690136268,0.8612444631598966,0.006870489919992647,3,226.53490452380856,12.458802378373264,0.6986708154349662,0.03990400165398719,1-4,metingen 27 cm
0.27,164.117376,0.03314161418318777,0.0113,346.3305231505704,247.08063382746204,3.1169996779954214,0.6096187069796166,0.008480669493841218,3,249.16544456506793,28.17612304325191,0.7134243657756999,0.12212023632522792,2-4,metingen 27 cm
0.27,184.592808,0.062350919340166545,0.0113,367.2999546751451,168.03707788640457,1.2722307224660114,0.7765559808715534,0.009062655060525046,3,167.41612268083304,60.38507634285963,0.4574927814380575,0.09544474411294708,3-4,metingen 27 cm
0.27,205.06824,0.1324139624067821,0.01005,387.1352246218104,420.55899263752434,2.3278291553798214,0.8036424414346108,0.007588482701020357,3,423.1952378522057,48.25038915339316,1.086336158246425,0.017957227902661247,4-4,metingen 27 cm
0.28500000000000003,41.076432,0.08097075949159067,0.01,155.5061793433599,483.6571007945536,2.038833993845386,0.8531653744567954,0.004119746087383405,3,483.8762302148537,11.256661807648593,3.1102114580709475,0.025534903378203765,0-1,metingen 28.5 cm
0.28500000000000003,61.614647999999995,0.12683786464531585,0.0113,190.4553956204807,414.73880457821707,2.098508744760223,0.8042786388624534,0.006814099918572192,3,414.7520508195023,2.93538093349677,2.1776164609411466,0.019009750047442996,0-2,metingen 28.5 cm
0.28500000000000003,82.152864,0.06018190371172549,0.01125,219.9189478602024,166.72777219992932,1.1379767627271842,0.8015333187197671,0.007970233023398322,3,163.53553816106674,27.32347142147035,0.7581328203966967,0.09966120440051479,0-3,metingen 28.5 cm
0.28500000000000003,102.69108,0.14689623449221267,0.01,245.87685847782222,385.57505607705366,2.1285907832777555,0.7617540457268241,0.008333149157671511,3,381.3271520862755,41.39986865074269,1.5681632605202334,0.01765551565397671,0-4,metingen 28.5 cm
0.28500000000000003,143.641944,0.11733258557772593,0.01,290.7983459569319,232.9833589288453,1.1395389754947096,0.8389938586059027,0.008025765851963605,3,229.22888648959795,15.725064748334727,0.8011852961617286,0.03658107440330441,1-4,metingen 28.5 cm
0.28500000000000003,164.117376,0.13140819639250664,0.01,310.834042938462,164.56475772516512,0.67162092901382,0.8930866120483039,0.00820129242237534,3,165.56360485105895,40.362694194655084,0.5294296473110095,0.04624243669745471,2-4,metingen 28.5 cm
0.28500000000000003,184.592808,0.10387245522987809,0.01,329.65425294943765,339.63363725057155,1.5934592024381373,0.8143938904414965,0.006145964295236483,3,337.4256644290144,28.333399384124228,1.0302722753061662,0.028345812281552866,3-4,metingen 28.5 cm
0.28500000000000003,205.06824,0.09096588359304075,0.0101,347.456545089935,318.0164620129582,1.2211369380680948,0.8848745155602163,0.004776412582138355,3,314.19462617622116,55.45234061663198,0.9152697409416864,0.03456780918194476,4-4,metingen 28.5 cm
0.3,41.076432,0.05909099164371021,0.01115,140.34432685738233,352.8571167795402,0.8513722890726468,0.9494051694545008,0.0022088515940927754,3,351.12724638944593,26.8342763202998,2.514224298771357,0.047960073570919484,0-1,metingen 30 cm
0.3,61.614647999999995,0.11207380476141511,0.0101,171.88599454748388,315.49143572121324,1.1807945764821826,0.8769974924021757,0.0052848713049796735,3,316.18303603871334,36.17230207929496,1.8354691233092761,0.02828188223999214,0-2,metingen 30 cm
0.3,82.152864,0.05974974298561819,0.01145,198.47685044383272,162.5493049706254,1.2901858026677515,0.7614599037927549,0.00927256844947217,3,163.1647098871946,14.722047784544666,0.8189836981347378,0.10296244372461634,0-3,metingen 30 cm
0.3,102.69108,0.07984054195474874,0.0113,221.90386477623463,187.2888081213443,0.9525182521945561,0.8540849649335606,0.007044895979508244,3,188.74727251142738,29.48969629668883,0.8440087706908765,0.06687513902321653,0-4,metingen 30 cm
0.3,143.641944,0.11544565243195698,0.01005,262.4455072261311,253.74692419257187,1.7140603968829278,0.7571805655532238,0.010610540713728352,3,260.6550326132016,61.039487407632585,0.9668556603407036,0.03413670749972206,1-4,metingen 30 cm
0.3,164.117376,0.1240116124436244,0.01,280.527723751962,280.1553086649398,1.5275281340670943,0.8157605555435548,0.008581757039002939,3,284.7299586878572,70.04007191051153,0.9986724481914255,0.028783181037739542,2-4,metingen 30 cm
0.3,184.592808,0.15445244998809102,0.01125,297.51296328686755,323.7308935582676,1.7645352597302784,0.8234648564450944,0.009141003270526492,3,318.8388889555352,99.46540152785929,1.0881236568038894,0.01999958814971787,3-4,metingen 30 cm
0.3,205.06824,0.17161790433669308,0.01,313.57953194366644,235.71700349006667,1.1663799676752526,0.8058053538663152,0.010109228163071969,3,233.73732224671843,19.677192656000766,0.7516976698989795,0.024719887732065966,4-4,metingen 30 cm
0.315,41.076432,0.0940785456859393,0.01,127.29644159399756,332.1680823184605,1.2130223380353071,0.9025471709243239,0.004554295014537834,3,334.62190056860277,34.49726413063511,2.609405873087055,0.03200011253000019,0-1,metingen 31.5 cm
0.315,61.614647999999995,0.12995726636596053,0.01,155.9056639886475,242.56597713639377,0.957995064020471,0.8559600187953162,0.006779788123731412,3,243.00343891449015,22.072378126677616,1.5558509609635258,0.03172265637592202,0-2,metingen 31.5 cm
0.315,82.152864,0.10870373702358588,0.01,180.02435414406594,246.34151374571184,0.420932747165585,0.9792826161137798,0.002618796947900579,3,238.6114177073289,14.702667565011142,1.3683788225040656,0.03734374937191772,0-3,metingen 31.5 cm
0.315,102.69108,0.08999475389984653,0.01005,201.2733467358137,199.0416811837929,0.7044135193486847,0.9078146150260282,0.005208304672357228,3,198.15338716863843,17.15369099144725,0.9889122648964046,0.05582629100329465,0-4,metingen 31.5 cm
0.315,143.641944,0.08077884585226074,0.0104,238.045811542976,283.91086091840384,1.9190898009741697,0.7779563089297934,0.008168762109636782,3,284.4306373719873,32.42133903338777,1.1926732047001278,0.043603399460199935,1-4,metingen 31.5 cm
0.315,164.117376,0.06241656161140292,0.0113,254.446914967766,231.32143061795222,1.6582869351485878,0.7992583236451066,0.007848715257881186,3,228.88688952127765,48.22567389265281,0.9091146994148332,0.0692602874667043,2-4,metingen 31.5 cm
0.315,184.592808,0.1409034524667763,0.01005,269.8530279245964,228.04313374450547,1.3102447217217377,0.7957818652623322,0.010610783069931106,3,226.14316920513838,63.9566495614699,0.8450642021635064,0.03112156048742148,3-4,metingen 31.5 cm
0.315,205.06824,0.15979274232601878,0.01,284.4258793139831,270.18949242059034,1.812813694375923,0.7349313318121826,0.01241160982181652,3,271.5909893802572,53.83929905915251,0.949946935462659,0.023161916652156993,4-4,metingen 31.5 cm
