FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.184959E-04,+0.000000E+00,-6.756618E+01,+3.141593E+00
+2.441406E-01,+2.905186E-04,+8.135343E-06,-7.073312E+01,+2.799552E-02
+4.882812E-01,+5.651331E-07,-4.019292E-06,-1.078320E+02,-1.431107E+00
+7.324219E-01,-5.716823E-06,-5.126872E-07,-1.048221E+02,-3.052151E+00
+9.765625E-01,+1.934799E-05,+1.277769E-06,-9.424838E+01,+6.594566E-02
+1.220703E+00,-1.648416E-05,+2.560887E-06,-9.555510E+01,+2.987470E+00
+1.464844E+00,+1.287246E-05,-6.756776E-06,-9.674989E+01,-4.833700E-01
+1.708984E+00,-6.146310E-06,+3.177015E-06,-1.031993E+02,+2.664518E+00
+1.953125E+00,+1.622006E-06,+1.214267E-07,-1.157747E+02,+7.472264E-02
+2.197266E+00,+6.476955E-06,+2.389102E-06,-1.032186E+02,+3.533785E-01
+2.441406E+00,-1.827500E-05,+7.524889E-07,-9.475549E+01,+3.100440E+00
+2.685547E+00,+8.683491E-06,-2.955643E-06,-1.007500E+02,-3.280746E-01
+2.929688E+00,+8.269482E-06,-1.002933E-06,-1.015870E+02,-1.206918E-01
+3.173828E+00,-7.231954E-06,-3.865113E-06,-1.017237E+02,-2.650767E+00
+3.417969E+00,-3.707584E-08,+1.983306E-05,-9.405219E+01,+1.572666E+00
+3.662109E+00,+3.994102E-06,-2.468496E-05,-9.203912E+01,-1.410383E+00
+3.906250E+00,-1.238472E-06,+7.363469E-06,-1.025372E+02,+1.737428E+00
+4.150391E+00,-2.871717E-06,+2.454474E-06,-1.084554E+02,+2.434373E+00
+4.394531E+00,+5.726711E-06,+1.080765E-05,-9.825067E+01,+1.083535E+00
+4.638672E+00,-2.949830E-06,-1.349229E-05,-9.719550E+01,-1.786040E+00
+4.882812E+00,+9.709277E-07,-1.825093E-06,-1.136920E+02,-1.081887E+00
+5.126953E+00,-5.861595E-07,+1.018573E-05,-9.982581E+01,+1.628280E+00
+5.371094E+00,-3.939654E-06,-1.228540E-05,-9.778711E+01,-1.881114E+00
+5.615234E+00,-6.610817E-07,+1.493282E-05,-9.650865E+01,+1.615038E+00
+5.859375E+00,+5.339841E-06,-7.770659E-06,-1.005111E+02,-9.687263E-01
+6.103516E+00,-3.713402E-06,-2.431465E-06,-1.070550E+02,-2.561864E+00
+6.347656E+00,-1.648735E-06,-4.039810E-07,-1.154038E+02,-2.901302E+00
+6.591797E+00,+6.712020E-06,+5.357104E-06,-1.013224E+02,+6.736032E-01
+6.835938E+00,+2.780010E-07,-1.754617E-06,-1.150087E+02,-1.413663E+00
+7.080078E+00,-1.254804E-06,-3.884862E-06,-1.077815E+02,-1.883217E+00
+7.324219E+00,-3.322054E-06,-4.378118E-07,-1.094971E+02,-3.010558E+00
+7.568359E+00,+7.323349E-06,+3.112547E-06,-1.019846E+02,+4.018849E-01
+7.812500E+00,-1.704055E-05,+1.041089E-06,-9.535415E+01,+3.080574E+00
+8.056641E+00,+1.672465E-05,-1.700817E-06,-9.548817E+01,-1.013468E-01
+8.300781E+00,-7.152743E-06,+3.401528E-06,-1.020251E+02,+2.697691E+00
+8.544922E+00,-5.602123E-06,-3.199402E-06,-1.038070E+02,-2.622690E+00
